"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"F1";"Fuse_1206_3216Metric";1;"Fuse_Small";;;
2;"J8";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
3;"J4,J3,J2,J1";"PinHeader_1x02_P2.54mm_Vertical";4;"Conn_01x02";;;
4;"U2";"L7805CDT-TR";1;"L7805";;;
5;"NT1";"NetTie-2_SMD_Pad2.0mm";1;"NT2";;;
6;"U6";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
7;"R3,R6,R2,R4,R7";"R_0402_1005Metric";5;"10k";;;
8;"FB1";"L_0805_2012Metric";1;"FerriteBead_Small";;;
9;"U7";"DCK5_TEX";1;"TMP235A4DCKT";;;
10;"J5";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
11;"C8,C9,C13,C7,C10";"C_0805_2012Metric";5;"1uF";;;
12;"C6";"C_01005_0402Metric";1;"0.01uF";;;
13;"J7";"PinHeader_1x12_P2.54mm_Vertical";1;"Conn_01x12";;;
14;"SW1";"SW_SPDT_PCM12";1;"SW_Push";;;
15;"Q1,Q2";"SOT-23";2;"MMBT3904";;;
16;"U5";"AMN33111_PAN";1;"AMN33111";;;
17;"C3";"C_0603_1608Metric";1;"0.33uF";;;
18;"C12";"C_01005_0402Metric";1;"1nF";;;
19;"U3";"SOT-23-5";1;"LP5907MFX-2.8";;;
20;"U4";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
21;"H1,H2,H3,H4";"MountingHole_4.3mm_M4_Pad_Via";4;"MountingHole_Pad";;;
22;"C11,C5";"C_0805_2012Metric";2;"10uF";;;
23;"J6";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16";;;
24;"U1";"SOT-223";1;"LD1117S33TR_SOT223";;;
25;"R1";"R_0201_0603Metric";1;"10k";;;
26;"C4,C1";"C_1206_3216Metric";2;"1uF";;;
27;"R5";"R_1206_3216Metric";1;"47k";;;
28;"C2";"C_0402_1005Metric";1;"100nF";;;
29;"D1";"LED_D5.0mm";1;"LED";;;
30;"PHOTO1";"PHOTOCELL-KIT";1;"PHOTOCELLPTH";;;
